OK   | Table1 a=2 s~9.6 location                     | quoted 9.6          | computed 9.6106      
OK   | Table1 all slopes < pi^2                      | quoted 1            | computed 1           
OK   | Table2 gap n=256                              | quoted 1.7686       | computed 1.76864     
OK   | Table2 n lam n=256                            | quoted 1.5609       | computed 1.5609      
OK   | Table2 Legendre n=256                         | quoted 1.5592       | computed 1.55915     
OK   | Table2 gap n=1024                             | quoted 1.5858       | computed 1.58577     
OK   | Table2 n lam n=1024                           | quoted 1.7494       | computed 1.74939     
OK   | Table2 Legendre n=1024                        | quoted 1.7454       | computed 1.74536     
OK   | Table2 gap n=4096                             | quoted 1.4588       | computed 1.45885     
OK   | Table2 n lam n=4096                           | quoted 1.9312       | computed 1.93124     
OK   | Table2 Legendre n=4096                        | quoted 1.9274       | computed 1.9274      
OK   | Table2 gap n=16384                            | quoted 1.3655       | computed 1.36548     
OK   | Table2 n lam n=16384                          | quoted 2.1089       | computed 2.10891     
OK   | Table2 Legendre n=16384                       | quoted 2.1065       | computed 2.10649     
OK   | Table2 gap n=65536                            | quoted 1.2937       | computed 1.29375     
OK   | Table2 n lam n=65536                          | quoted 2.2836       | computed 2.28358     
OK   | Table2 Legendre n=65536                       | quoted 2.2802       | computed 2.28017     
OK   | Table2 gap n=262144                           | quoted 1.2368       | computed 1.23679     
OK   | Table2 n lam n=262144                         | quoted 2.4559       | computed 2.45591     
OK   | Table2 Legendre n=262144                      | quoted 2.4539       | computed 2.45386     
OK   | Legendre within 0.3%                          | quoted 0.003        | computed 0.00230366  
OK   | ell* at 2^18 = 2.33                           | quoted 2.33         | computed 2.329       
OK   | fit sqrt: 0.96                                | quoted 0.96         | computed 0.963       
OK   | fit loglog: 1.10                              | quoted 1.1          | computed 1.104       
OK   | fit residuals ~1e-5                           | quoted 1            | computed 1           
OK   | log n ~ 80 reaches ell* ~ 10                  | quoted 1            | computed 1           
OK   | 7.4 a=1/2 from 2.16                           | quoted 2.16         | computed 2.1556      
OK   | 7.4 a=1/2 to 1.84                             | quoted 1.84         | computed 1.8406      
OK   | 7.4 a=2 from 4.26                             | quoted 4.26         | computed 4.2594      
OK   | 7.4 a=2 to 2.87                               | quoted 2.87         | computed 2.8706      
OK   | 7.4 monotone                                  | quoted 1            | computed 1           
OK   | 7.4 lam_min+lam_max-4pi^2 machine precision   | quoted 1            | computed 1           
OK   | 7.4 Gram ratio min 0.959                      | quoted 0.959        | computed 0.9589      
OK   | 7.4 Gram ratio max 0.968                      | quoted 0.968        | computed 0.9676      
OK   | Remark 6.3 ten digits                         | quoted 1            | computed 1           
OK   | Thm A bounds hold 16..2^18                    | quoted 1            | computed 1           
OK   | Concl 2nd-order residual n=2^8 = 2.95         | quoted 2.95         | computed 2.94703     
OK   | Concl 2nd-order residual n=2^18 = 2.49        | quoted 2.49         | computed 2.49272     
OK   | Concl residual decreasing 2^8..2^18           | quoted 1            | computed 1           
OK   | (2 pi)^4 threshold                            | quoted 1            | computed 1           

120 checks, 0 FAIL
